objectid,labid,sampleid,sizefraction,pickingprep,comments,time,magnification
154,LabN,LabN_CW_3,212-500 um,Dry,Range of magnifications used: 0.73-3.2x,0.33333333,3.2
155,LabN,LabN_CW_4,212-500 um,Dry,Range of magnifications used: 0.73-3.2x,0.08333333,3.2
156,LabN,LabN_CW_1,20-212 um,Dry,Range of magnifications used:1-4x,0.75,4.0
157,LabN,LabN_CW_2,20-212 um,Dry,Range of magnifications used:1-4x,0.58333333,4.0
158,LabN,LabN_CW_3,20-212 um,Dry,Range of magnifications used:1-4x,0.83333333,4.0
159,LabN,LabN_CW_4,20-212 um,Dry,Range of magnifications used:1-4x,0.16666667,4.0
160,LabN,LabN_CW_1,1-20 um,Dry,Range of magnifications used: 1.25-8x,0.58333333,8.0
161,LabN,LabN_CW_2,1-20 um,Dry,Range of magnifications used: 1.25-8x,1.0,8.0
162,LabN,LabN_CW_3,1-20 um,Dry,Range of magnifications used: 1.25-8x,1.16666667,8.0
163,LabN,LabN_CW_4,1-20 um,Dry,Range of magnifications used: 1.25-8x,0.41666667,8.0
209,LabZ,LabZ_CW_4,212-500 um,Dry,No particles of interest on blank sample,1.0,50.0
210,LabZ,LabZ_CW_4,20-212 um,Dry,No particles of interest on blank sample,1.0,50.0
211,LabZ,LabZ_CW_4,1-20 um,Dry,No particles of interest on blank sample,1.0,100.0
212,LabJ,LabJ_CW_3,>500 um,Dry,Not be able to get a reticle due to the age of microscope,5.0,4.2
213,LabJ,LabJ_CW_3,212-500 um,Dry,Not be able to get a reticle due to the age of microscope,5.0,4.2
214,LabJ,LabJ_CW_3,20-212 um,Dry,Not be able to get a reticle due to the age of microscope,3.0,4.2
215,LabJ,LabJ_CW_4,>500 um,Dry,Not be able to get a reticle due to the age of microscope,0.5,4.2
216,LabJ,LabJ_CW_4,212-500 um,Dry,Not be able to get a reticle due to the age of microscope,0.5,4.2
217,LabJ,LabJ_CW_4,20-212 um,Dry,Not be able to get a reticle due to the age of microscope,0.5,4.2
218,LabJ,LabJ_CW_1,>500 um,Dry,Not be able to get a reticle due to the age of microscope,5.0,4.2
219,LabJ,LabJ_CW_1,212-500 um,Dry,Not be able to get a reticle due to the age of microscope,2.0,4.2
220,LabJ,LabJ_CW_1,20-212 um,Dry,Not be able to get a reticle due to the age of microscope,3.0,4.2
221,LabJ,LabJ_CW_2,>500 um,Dry,Not be able to get a reticle due to the age of microscope,7.0,4.2
222,LabJ,LabJ_CW_2,212-500 um,Dry,Not be able to get a reticle due to the age of microscope,8.0,4.2
223,LabJ,LabJ_CW_2,20-212 um,Dry,Not be able to get a reticle due to the age of microscope,4.0,4.2
225,LabC,LabC_CW_1,212-500 um,Dry,,6.0,40.0
226,LabC,LabC_CW_1,>500 um,Dry,,5.0,40.0
227,LabC,LabC_CW_2,20-212 um,Dry,,3.0,40.0
228,LabC,LabC_CW_2,212-500 um,Dry,,3.0,40.0
229,LabC,LabC_CW_2,>500 um,Dry,,4.0,40.0
230,LabC,LabC_CW_3,20-212 um,Dry,,3.0,40.0
231,LabC,LabC_CW_3,212-500 um,Dry,,3.0,40.0
232,LabC,LabC_CW_3,>500 um,Dry,,4.0,40.0
233,LabC,LabC_CW_4,20-212 um,Dry,,3.0,40.0
234,LabC,LabC_CW_4,212-500 um,Dry,,0.5,40.0
235,LabC,LabC_CW_4,>500 um,Dry,,0.1,40.0
236,LabV,LabV_CW_1,20-212 um,Dry,2 hours imaging per fraction,2.0,100.0
237,LabV,LabV_CW_1,212-500 um,Dry,2 hours imaging per fraction,2.0,100.0
238,LabV,LabV_CW_1,>500 um,Dry,2 hours imaging per fraction,2.0,100.0
239,LabV,LabV_CW_2,20-212 um,Dry,2 hours imaging per fraction,2.0,100.0
240,LabV,LabV_CW_2,212-500 um,Dry,2 hours imaging per fraction,2.0,100.0
241,LabV,LabV_CW_2,>500 um,Dry,2 hours imaging per fraction,2.0,100.0
242,LabV,LabV_CW_3,20-212 um,Dry,2 hours imaging per fraction,2.0,100.0
243,LabV,LabV_CW_3,212-500 um,Dry,2 hours imaging per fraction,2.0,100.0
244,LabV,LabV_CW_3,>500 um,Dry,2 hours imaging per fraction,2.0,100.0
245,LabV,LabV_CW_4,20-212 um,Dry,2 hours imaging per fraction,2.0,100.0
246,LabV,LabV_CW_4,212-500 um,Dry,2 hours imaging per fraction,2.0,100.0
247,LabV,LabV_CW_4,>500 um,Dry,2 hours imaging per fraction,2.0,100.0
248,LabM,LabM_CW_1,20-212 um,Dry,counting & picking combined; time for pictures/size measures 0.75,1.75,50.0
249,LabM,LabM_CW_1,212-500 um,Dry,counting & picking combined; time for pictures/size measures 1.5,1.0,35.0
250,LabM,LabM_CW_1,>500 um,Dry,counting & picking combined; time for pictures/size measures 1.5,0.5,25.0
251,LabM,LabM_CW_2,20-212 um,Dry,counting & picking combined; time for pictures/size measures 0.75,1.75,50.0
252,LabM,LabM_CW_2,212-500 um,Dry,counting & picking combined; time for pictures/size measures 1.5,1.0,35.0
253,LabM,LabM_CW_2,>500 um,Dry,counting & picking combined; time for pictures/size measures 1.5,0.5,25.0
254,LabM,LabM_CW_3,20-212 um,Dry,counting & picking combined; time for pictures/size measures 0.75,1.75,50.0
255,LabM,LabM_CW_3,212-500 um,Dry,counting & picking combined; time for pictures/size measures 1.5,1.0,35.0
256,LabM,LabM_CW_3,>500 um,Dry,counting & picking combined; time for pictures/size measures 1.5,0.5,25.0
257,LabM,LabM_CW_4,20-212 um,Dry,counting & picking combined,0.75,50.0
258,LabM,LabM_CW_4,212-500 um,Dry,counting & picking combined,0.5,35.0
259,LabM,LabM_CW_4,>500 um,Dry,counting & picking combined,0.25,25.0
260,LabD,LabD_CW_2,>500 um,Dry,,3.5,2.0
261,LabD,LabD_CW_2,212-500 um,Dry,,4.75,2.0
262,LabRR,LabRR_CW_1,>500 um,Dry,,1.0,60.0
263,LabRR,LabRR_CW_1,212-500 um,Dry,,1.0,60.0
264,LabS,LabS_CW_1,>500 um,Wet,"I change the Pickingprep because of the white substance, It was better to pick and count particles when the whiet substance was dry",50.5,40.0
265,LabS,LabS_CW_1,212-500 um,Wet,"I change the Pickingprep because of the white substance, It was better to pick and count particles when the whiet substance was dry",40.2,40.0
266,LabS,LabS_CW_1,20-212 um,Dry,,60.8,40.0
267,LabS,LabS_CW_2,>500 um,Dry,,20.5,40.0
268,LabS,LabS_CW_2,212-500 um,Dry,,50.8,40.0
269,LabS,LabS_CW_2,20-212 um,Dry,,62.2,40.0
270,LabS,LabS_CW_3,>500 um,Dry,,15.9,40.0
271,LabS,LabS_CW_3,212-500 um,Dry,,26.2,40.0
272,LabS,LabS_CW_3,20-212 um,Dry,,30.8,40.0
273,LabS,LabS_CW_4,>500 um,Dry,,4.2,40.0
274,LabS,LabS_CW_4,212-500 um,Dry,,4.6,40.0
275,LabG,LabG_CW_1,>500 um,Wet,,1.0,8.0
276,LabG,LabG_CW_1,212-500 um,Wet,,1.0,8.0
277,LabG,LabG_CW_1,20-212 um,Dry,,1.5,16.0
278,LabG,LabG_CW_1,1-20 um,Dry,,1.5,16.0
279,LabG,LabG_CW_2,>500 um,Wet,,1.0,8.0
280,LabG,LabG_CW_2,212-500 um,Wet,,1.0,8.0
281,LabG,LabG_CW_2,20-212 um,Dry,,1.5,16.0
282,LabG,LabG_CW_2,1-20 um,Dry,,1.5,16.0
283,LabG,LabG_CW_3,>500 um,Wet,,1.0,8.0
284,LabG,LabG_CW_3,212-500 um,Wet,,1.0,8.0
285,LabG,LabG_CW_3,20-212 um,Dry,,1.5,16.0
286,LabG,LabG_CW_3,1-20 um,Dry,,1.5,16.0
287,LabG,LabG_CW_4,>500 um,Wet,,1.0,8.0
288,LabG,LabG_CW_4,212-500 um,Wet,,1.0,8.0
289,LabG,LabG_CW_4,20-212 um,Dry,,1.5,16.0
290,LabG,LabG_CW_4,1-20 um,Dry,,1.5,16.0
307,LabAA,LabAA_CW_1,1-20 um,Dry,,1.0,80.0
308,LabAA,LabAA_CW_1,20-212 um,Dry,,55.0,80.0
309,LabAA,LabAA_CW_1,212-500 um,Wet,,11.0,60.0
310,LabAA,LabAA_CW_1,>500 um,Wet,,5.0,60.0
311,LabAA,LabAA_CW_2,1-20 um,Dry,,4.0,80.0
312,LabAA,LabAA_CW_2,20-212 um,Dry,,25.0,80.0
313,LabAA,LabAA_CW_2,212-500 um,Wet,,5.0,60.0
314,LabAA,LabAA_CW_2,>500 um,Wet,,3.0,60.0
315,LabAA,LabAA_CW_3,1-20 um,Dry,,11.0,80.0
316,LabAA,LabAA_CW_3,20-212 um,Dry,,35.0,80.0
317,LabAA,LabAA_CW_3,212-500 um,Wet,,10.0,60.0
318,LabAA,LabAA_CW_3,>500 um,Wet,,9.0,60.0
319,LabX,LabX_CW_1,>500 um,Dry,,1.0,1.0
320,LabX,LabX_CW_1,212-500 um,Wet,,1.25,1.0
321,LabX,LabX_CW_1,20-212 um,Wet,,3.5,5.0
322,LabX,LabX_CW_1,1-20 um,Wet,,7.0,20.0
323,LabX,LabX_CW_2,>500 um,Dry,,0.75,1.0
324,LabX,LabX_CW_2,212-500 um,Wet,,2.0,5.0
325,LabX,LabX_CW_2,20-212 um,Wet,,1.5,5.0
326,LabX,LabX_CW_2,1-20 um,Wet,,3.75,20.0
327,LabX,LabX_CW_3,>500 um,Dry,,2.25,1.0
328,LabX,LabX_CW_3,212-500 um,Wet,,2.75,1.0
329,LabX,LabX_CW_3,20-212 um,Wet,,4.5,5.0
330,LabX,LabX_CW_3,1-20 um,Wet,,0.0,20.0
333,LabL,LabL_CW_1,>500 um,Wet,"7 h total for CW 1-4, the picking up and sorting for photos of particles were performed wet as the particles are easily moved by static but chemical analysis is perfomed when the particles are dry. This includes measurments of particles",7.0,20.0
334,LabL,LabL_CW_1,212-500 um,Wet,"7 h total for CW 1-4, the picking up and sorting for photos of particles were performed wet as the particles are easily moved by static but chemical analysis is perfomed when the particles are dry. This includes measurments of particles",7.0,20.0
335,LabL,LabL_CW_1,20-212 um,Wet,"7 h total for CW 1-4, the picking up and sorting for photos of particles were performed wet as the particles are easily moved by static but chemical analysis is perfomed when the particles are dry. This includes measurments of particles",7.0,20.0
336,LabL,LabL_CW_2,>500 um,Wet,"7 h total for CW 1-4, the picking up and sorting for photos of particles were performed wet as the particles are easily moved by static but chemical analysis is perfomed when the particles are dry. This includes measurments of particles",7.0,20.0
382,LabDD,LabDD_CW_3,20-212 um,Dry,magnifiaction varied 6.7-45x,5.0,45.0
304,LabU,LabU_CW_4,212-500 um,Dry,2 hours imaging per fraction,2.0,100.0
305,LabU,LabU_CW_4,20-212 um,Dry,2 hours imaging per fraction,2.0,100.0
337,LabL,LabL_CW_2,212-500 um,Wet,"7 h total for CW 1-4, the picking up and sorting for photos of particles were performed wet as the particles are easily moved by static but chemical analysis is perfomed when the particles are dry. This includes measurments of particles",7.0,20.0
338,LabL,LabL_CW_2,20-212 um,Wet,"7 h total for CW 1-4, the picking up and sorting for photos of particles were performed wet as the particles are easily moved by static but chemical analysis is perfomed when the particles are dry",7.0,20.0
339,LabL,LabL_CW_3,>500 um,Wet,"7 h total for CW 1-4, the picking up and sorting for photos of particles were performed wet as the particles are easily moved by static but chemical analysis is perfomed when the particles are dry",7.0,20.0
340,LabL,LabL_CW_3,212-500 um,Wet,"7 h total for CW 1-4, the picking up and sorting for photos of particles were performed wet as the particles are easily moved by static but chemical analysis is perfomed when the particles are dry",7.0,20.0
341,LabL,LabL_CW_3,20-212 um,Wet,"7 h total for CW 1-4, the picking up and sorting for photos of particles were performed wet as the particles are easily moved by static but chemical analysis is perfomed when the particles are dry",7.0,20.0
342,LabL,LabL_CW_4,>500 um,Wet,"7 h total for CW 1-4, the picking up and sorting for photos of particles were performed wet as the particles are easily moved by static but chemical analysis is perfomed when the particles are dry",7.0,20.0
343,LabL,LabL_CW_4,212-500 um,Wet,"7 h total for CW 1-4, the picking up and sorting for photos of particles were performed wet as the particles are easily moved by static but chemical analysis is perfomed when the particles are dry",7.0,20.0
344,LabL,LabL_CW_4,20-212 um,Wet,"7 h total for CW 1-4, the picking up and sorting for photos of particles were performed wet as the particles are easily moved by static but chemical analysis is perfomed when the particles are dry",7.0,20.0
345,LabQ,LabQ_CW_5,20-212 um,Dry,This time value includes characterizing and imaging particles on this filter.,8.0,45.0
346,LabQ,LabQ_CW_6,20-212 um,Dry,This time value includes characterizing and imaging particles on this filter.,6.0,45.0
347,LabQ,LabQ_CW_7,20-212 um,Dry,This time value includes characterizing and imaging particles on this filter.,7.0,45.0
348,LabQ,LabQ_CW_8,20-212 um,Dry,This time value includes characterizing and imaging particles on this filter.,2.0,45.0
349,LabQ,LabQ_CW_5,212-500 um,Dry,This time value includes characterizing and imaging particles on this filter.,4.0,45.0
350,LabQ,LabQ_CW_6,212-500 um,Dry,This time value includes characterizing and imaging particles on this filter.,5.0,45.0
351,LabQ,LabQ_CW_7,212-500 um,Dry,This time value includes characterizing and imaging particles on this filter.,3.0,45.0
352,LabQ,LabQ_CW_8,212-500 um,Dry,This time value includes characterizing and imaging particles on this filter.,3.0,45.0
353,LabQ,LabQ_CW_5,>500 um,Dry,This time value includes characterizing and imaging particles on this filter.,2.0,45.0
354,LabQ,LabQ_CW_6,>500 um,Dry,This time value includes characterizing and imaging particles on this filter.,2.0,45.0
355,LabQ,LabQ_CW_7,>500 um,Dry,This time value includes characterizing and imaging particles on this filter.,1.0,45.0
356,LabQ,LabQ_CW_8,>500 um,Dry,This time value includes characterizing and imaging particles on this filter.,1.0,45.0
357,LabR,LabR_CW_1,>500 um,Wet,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",0.5,1.5
358,LabR,LabR_CW_1,212-500 um,Dry,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",1.0,1.5
359,LabR,LabR_CW_1,20-212 um,Dry,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",1.0,1.5
383,LabDD,LabDD_CW_3,1-20 um,Dry,magnifiaction varied 6.7-45x,4.0,45.0
360,LabR,LabR_CW_1,1-20 um,Dry,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",1.0,2.5
361,LabR,LabR_CW_2,>500 um,Wet,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",0.5,1.5
362,LabR,LabR_CW_2,212-500 um,Dry,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",1.0,1.5
363,LabR,LabR_CW_2,20-212 um,Dry,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",1.0,2.5
364,LabR,LabR_CW_2,1-20 um,Dry,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",1.0,2.5
365,LabR,LabR_CW_3,>500 um,Wet,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",0.5,1.5
366,LabR,LabR_CW_3,212-500 um,Dry,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",1.0,1.5
367,LabR,LabR_CW_3,20-212 um,Dry,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",1.0,2.5
368,LabR,LabR_CW_3,1-20 um,Dry,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",1.0,2.5
369,LabR,LabR_CW_4,212-500 um,Dry,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",0.5,1.5
370,LabR,LabR_CW_4,20-212 um,Dry,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",0.5,1.5
371,LabR,LabR_CW_4,1-20 um,Dry,"For all samples: analyzed by visual microscopy (stereoscope) first, without picking, then went back a second time to pick for ~30/type characterization, hence why there are less particles analyzed by FTIR than were characterized, very difficult to go back the second time and subsample for smaller size fractions",0.5,2.5
372,LabDD,LabDD_CW_1,>500 um,Dry,magnifiaction varied 6.7-45x,7.0,45.0
373,LabDD,LabDD_CW_1,212-500 um,Dry,magnifiaction varied 6.7-45x,7.0,45.0
374,LabDD,LabDD_CW_1,20-212 um,Dry,magnifiaction varied 6.7-45x,6.0,45.0
375,LabDD,LabDD_CW_1,1-20 um,Dry,magnifiaction varied 6.7-45x,4.0,45.0
376,LabDD,LabDD_CW_2,>500 um,Dry,magnifiaction varied 6.7-45x,7.25,45.0
377,LabDD,LabDD_CW_2,212-500 um,Dry,magnifiaction varied 6.7-45x,4.5,45.0
378,LabDD,LabDD_CW_2,20-212 um,Dry,magnifiaction varied 6.7-45x,5.0,45.0
379,LabDD,LabDD_CW_2,1-20 um,Dry,magnifiaction varied 6.7-45x,4.0,45.0
380,LabDD,LabDD_CW_3,>500 um,Dry,magnifiaction varied 6.7-45x,5.5,45.0
381,LabDD,LabDD_CW_3,212-500 um,Dry,magnifiaction varied 6.7-45x,4.5,45.0
384,LabDD,LabDD_CW_4,>500 um,Dry,magnifiaction varied 6.7-45x,2.0,45.0
385,LabDD,LabDD_CW_4,212-500 um,Dry,magnifiaction varied 6.7-45x,2.5,45.0
386,LabDD,LabDD_CW_4,20-212 um,Dry,magnifiaction varied 6.7-45x,3.0,45.0
387,LabDD,LabDD_CW_4,1-20 um,Dry,magnifiaction varied 6.7-45x,4.0,45.0
388,LabJJ,LabJJ_CW_1,>500 um,Dry,Photos taken at varying magnifications ranging from 8X to 35X.,5.0,20.0
389,LabJJ,LabJJ_CW_1,212-500 um,Dry,Photos taken at varying magnifications.,5.0,20.0
390,LabJJ,LabJJ_CW_1,20-212 um,Dry,Photos taken at varying magnifications.,8.0,20.0
391,LabJJ,LabJJ_CW_2,>500 um,Dry,Photos taken at 20X.  Some photos and measurements were taken during picking.,5.0,20.0
392,LabJJ,LabJJ_CW_2,212-500 um,Dry,Photos taken at varying magnifications.,10.0,20.0
393,LabJJ,LabJJ_CW_2,20-212 um,Dry,Photos taken at varying magnifications.  Some photos and measurements were taken during picking.,8.0,20.0
394,LabJJ,LabJJ_CW_3,>500 um,Dry,Photos taken at 20X.  Some photos and measurements were taken during picking.,5.0,20.0
395,LabJJ,LabJJ_CW_3,212-500 um,Dry,Photos taken at 20X.  Some photos and measurements were taken during picking.,8.0,20.0
396,LabJJ,LabJJ_CW_3,20-212 um,Dry,Photos taken at 20X.  Some photos and measurements were taken during picking.,8.0,20.0
397,LabJJ,LabJJ_CW_4,>500 um,Dry,Photos taken at 20X.  Some photos and measurements were taken during picking.,4.0,20.0
398,LabJJ,LabJJ_CW_4,212-500 um,Dry,Photos taken at 20X.  Some photos and measurements were taken during picking.,6.0,20.0
399,LabJJ,LabJJ_CW_4,20-212 um,Dry,Photos taken at 20X.  Some photos and measurements were taken during picking.,6.0,20.0
400,LabH,LabH_CW_1,1-20 um,Dry,"Microplastics were not picked out, becasuse no more than 30 items of each kind of microplastics were found.",0.7,3.2
401,LabH,LabH_CW_1,20-212 um,Dry,"Microplastics were not picked out, becasuse no more than 31 items of each kind of microplastics were found.",0.4,1.2
402,LabH,LabH_CW_1,212-500 um,Dry,"Microplastics were not picked out, becasuse no more than 32 items of each kind of microplastics were found.",0.4,1.2
403,LabH,LabH_CW_1,>500 um,Dry,"Microplastics were not picked out, becasuse no more than 33 items of each kind of microplastics were found.",0.4,1.2
404,LabH,LabH_CW_2,1-20 um,Dry,"Microplastics were not picked out, becasuse no more than 34 items of each kind of microplastics were found.",0.7,3.2
405,LabH,LabH_CW_2,20-212 um,Dry,"Microplastics were not picked out, becasuse no more than 35 items of each kind of microplastics were found.",0.4,1.2
406,LabH,LabH_CW_2,212-500 um,Dry,"Microplastics were not picked out, becasuse no more than 36 items of each kind of microplastics were found.",0.4,1.2
407,LabH,LabH_CW_2,>500 um,Dry,"Microplastics were not picked out, becasuse no more than 37 items of each kind of microplastics were found.",0.4,1.2
408,LabH,LabH_CW_3,1-20 um,Dry,"Microplastics were not picked out, becasuse no more than 38 items of each kind of microplastics were found.",0.7,3.2
409,LabH,LabH_CW_3,20-212 um,Dry,"Microplastics were not picked out, becasuse no more than 39 items of each kind of microplastics were found.",0.4,1.2
410,LabH,LabH_CW_3,212-500 um,Dry,"Microplastics were not picked out, becasuse no more than 40 items of each kind of microplastics were found.",0.4,1.2
411,LabH,LabH_CW_3,>500 um,Dry,"Microplastics were not picked out, becasuse no more than 41 items of each kind of microplastics were found.",0.4,1.2
412,LabH,LabH_CW_4,1-20 um,Dry,"Microplastics were not picked out, becasuse no more than 42 items of each kind of microplastics were found.",0.7,3.2
413,LabH,LabH_CW_4,20-212 um,Dry,"Microplastics were not picked out, becasuse no more than 43 items of each kind of microplastics were found.",0.4,1.2
414,LabH,LabH_CW_4,212-500 um,Dry,"Microplastics were not picked out, becasuse no more than 44 items of each kind of microplastics were found.",0.4,1.2
415,LabH,LabH_CW_4,>500 um,Dry,"Microplastics were not picked out, becasuse no more than 45 items of each kind of microplastics were found.",0.4,1.2
416,LabQQ,LabQQ_CW_1,20-212 um,Dry,,2.0,10.0
417,LabQQ,LabQQ_CW_1,212-500 um,Dry,,2.0,10.0
418,LabQQ,LabQQ_CW_1,>500 um,Dry,,2.0,10.0
419,LabQQ,LabQQ_CW_1,1-20 um,Dry,,2.0,10.0
420,LabQQ,LabQQ_CW_2,20-212 um,Dry,,2.0,10.0
421,LabQQ,LabQQ_CW_2,212-500 um,Dry,,2.0,10.0
422,LabQQ,LabQQ_CW_2,>500 um,Dry,,2.0,10.0
423,LabQQ,LabQQ_CW_2,1-20 um,Dry,,2.0,10.0
424,LabQQ,LabQQ_CW_3,20-212 um,Dry,,2.0,10.0
425,LabQQ,LabQQ_CW_3,212-500 um,Dry,,2.0,10.0
426,LabQQ,LabQQ_CW_3,>500 um,Dry,,2.0,10.0
427,LabQQ,LabQQ_CW_3,1-20 um,Dry,,2.0,10.0
428,LabQQ,LabQQ_CW_4,20-212 um,Dry,,2.0,10.0
429,LabQQ,LabQQ_CW_4,212-500 um,Dry,,2.0,10.0
430,LabQQ,LabQQ_CW_4,>500 um,Dry,,2.0,10.0
431,LabQQ,LabQQ_CW_4,1-20 um,Dry,,2.0,10.0
432,LabA,LabA_CW_1,>500 um,Dry,Magnification is variable,2.0,-88.0
433,LabA,LabA_CW_2,>500 um,Dry,Magnification is variable,2.0,-88.0
434,LabA,LabA_CW_3,>500 um,Dry,Magnification is variable,2.0,-88.0
435,LabA,LabA_CW_4,>500 um,Dry,Magnification is variable,2.0,-88.0
436,LabCC,LabCC_CW_1,20-250 um,Dry,Magnification ranged from 40X - 100x,1.0,40.0
437,LabCC,LabCC_CW_1,250-500 um,Dry,Please note that we used a 250 sieve instead of a 212 sieve; Magnification ranged from 40X - 100x,0.5,40.0
438,LabCC,LabCC_CW_1,>500 um,Dry,Magnification ranged from 40X - 100x,0.5,40.0
439,LabCC,LabCC_CW_1,1-20 um,Dry,Magnification ranged from 40X - 100x,0.5,40.0
440,LabCC,LabCC_CW_2,20-250 um,Dry,Please note that we used a 250 sieve instead of a 212 sieve; Magnification ranged from 40X - 100x,1.0,40.0
441,LabCC,LabCC_CW_2,250-500 um,Dry,Please note that we used a 250 sieve instead of a 212 sieve; Magnification ranged from 40X - 100x,0.5,40.0
442,LabCC,LabCC_CW_2,>500 um,Dry,Magnification ranged from 40X - 100x,0.5,40.0
443,LabCC,LabCC_CW_2,1-20 um,Dry,Magnification ranged from 40X - 100x,0.5,40.0
444,LabCC,LabCC_CW_3,20-250 um,Dry,Please note that we used a 250 sieve instead of a 212 sieve; Magnification ranged from 40X - 100x,1.0,40.0
445,LabCC,LabCC_CW_3,250-500 um,Dry,Please note that we used a 250 sieve instead of a 212 sieve; Magnification ranged from 40X - 100x,0.5,40.0
446,LabCC,LabCC_CW_3,>500 um,Dry,Magnification ranged from 40X - 100x,0.5,40.0
447,LabCC,LabCC_CW_3,1-20 um,Dry,Magnification ranged from 40X - 100x,0.5,40.0
