objectid,labid,sampleid,sievemeshsize,sievediameter,filtertype,filterporesize,filterdiameter,filterholder,kohdigestiontemp,wpodigestions,samplestorage,time,comments,b1separationtime,b2separationtime,kohdigestiontime,matrix,sizefraction
207,LabB,LabB_CW_1,212,8,"20 um: Nylon Net, 212 and 500 um: MCE",0,47,Glass,0.0,0,Dry,3.0,"For 212 and 500 um fractions, a 0.45 um Gridded MCE filter was used. For 20 um fraction, a 20um Nylon net filter was used. The 1um fraction was never filtered due to inability to vacuum filter through the 0.8 um filters.",0.0,0.0,0.0,CW,212-500 um
208,LabB,LabB_CW_1,500,8,"20 um: Nylon Net, 212 and 500 um: MCE",0,47,Glass,0.0,0,Dry,3.0,"For 212 and 500 um fractions, a 0.45 um Gridded MCE filter was used. For 20 um fraction, a 20um Nylon net filter was used. The 1um fraction was never filtered due to inability to vacuum filter through the 0.8 um filters.",0.0,0.0,0.0,CW,>500 um
209,LabB,LabB_CW_2,212,8,"20 um: Nylon Net, 212 and 500 um: MCE",0,47,Glass,0.0,0,Dry,2.0,"For 212 and 500 um fractions, a 0.45 um Gridded MCE filter was used. For 20 um fraction, a 20um Nylon net filter was used. The 1um fraction was never filtered due to inability to vacuum filter through the 0.8 um filters.",0.0,0.0,0.0,CW,212-500 um
210,LabB,LabB_CW_2,500,8,"20 um: Nylon Net, 212 and 500 um: MCE",0,47,Glass,0.0,0,Dry,2.0,"For 212 and 500 um fractions, a 0.45 um Gridded MCE filter was used. For 20 um fraction, a 20um Nylon net filter was used. The 1um fraction was never filtered due to inability to vacuum filter through the 0.8 um filters.",0.0,0.0,0.0,CW,>500 um
211,LabB,LabB_CW_3,212,8,"20 um: Nylon Net, 212 and 500 um: MCE",0,47,Glass,0.0,0,Dry,1.0,"For 212 and 500 um fractions, a 0.45 um Gridded MCE filter was used. For 20 um fraction, a 20um Nylon net filter was used. The 1um fraction was never filtered due to inability to vacuum filter through the 0.8 um filters.",0.0,0.0,0.0,CW,212-500 um
212,LabB,LabB_CW_3,500,8,"20 um: Nylon Net, 212 and 500 um: MCE",0,47,Glass,0.0,0,Dry,1.0,"For 212 and 500 um fractions, a 0.45 um Gridded MCE filter was used. For 20 um fraction, a 20um Nylon net filter was used. The 1um fraction was never filtered due to inability to vacuum filter through the 0.8 um filters.",0.0,0.0,0.0,CW,>500 um
213,LabB,LabB_CW_4,212,8,"20 um: Nylon Net, 212 and 500 um: MCE",0,47,Glass,0.0,0,Dry,1.0,"For 212 and 500 um fractions, a 0.45 um Gridded MCE filter was used. For 20 um fraction, a 20um Nylon net filter was used. The 1um fraction was never filtered due to inability to vacuum filter through the 0.8 um filters.",0.0,0.0,0.0,CW,212-500 um
214,LabB,LabB_CW_4,500,8,"20 um: Nylon Net, 212 and 500 um: MCE",0,47,Glass,0.0,0,Dry,1.0,"For 212 and 500 um fractions, a 0.45 um Gridded MCE filter was used. For 20 um fraction, a 20um Nylon net filter was used. The 1um fraction was never filtered due to inability to vacuum filter through the 0.8 um filters.",0.0,0.0,0.0,CW,>500 um
215,LabZ,LabZ_CW_1,500,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,6.0,"Eff. Area of filter is 962 sq. mm.  Unable to filter 1um pore size from hydrodynamic resistance, possibly due to surfactant or other substance added by SCCWRP.  Suggest issuing samples without surfactant in future.",-88.0,-88.0,-88.0,CW,>500 um
216,LabZ,LabZ_CW_2,500,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,6.0,"Eff. Area of filter is 962 sq. mm.  Unable to filter 1um pore size from hydrodynamic resistance, possibly due to surfactant or other substance added by SCCWRP.  Suggest issuing samples without surfactant in future.",-88.0,-88.0,-88.0,CW,>500 um
217,LabZ,LabZ_CW_3,500,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,6.0,"Eff. Area of filter is 962 sq. mm.  Unable to filter 1um pore size from hydrodynamic resistance, possibly due to surfactant or other substance added by SCCWRP.  Suggest issuing samples without surfactant in future.",-88.0,-88.0,-88.0,CW,>500 um
218,LabZ,LabZ_CW_4,500,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,2.0,"Eff. Area of filter is 962 sq. mm.  Unable to filter 1um pore size from hydrodynamic resistance, possibly due to surfactant or other substance added by SCCWRP.  Suggest issuing samples without surfactant in future.",-88.0,-88.0,-88.0,CW,>500 um
219,LabZ,LabZ_CW_1,212,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,6.0,"Eff. Area of filter is 962 sq. mm.  Unable to filter 1um pore size from hydrodynamic resistance, possibly due to surfactant or other substance added by SCCWRP.  Suggest issuing samples without surfactant in future.",-88.0,-88.0,-88.0,CW,212-500 um
220,LabZ,LabZ_CW_2,212,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,6.0,"Eff. Area of filter is 962 sq. mm.  Unable to filter 1um pore size from hydrodynamic resistance, possibly due to surfactant or other substance added by SCCWRP.  Suggest issuing samples without surfactant in future.",-88.0,-88.0,-88.0,CW,212-500 um
221,LabZ,LabZ_CW_3,212,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,6.0,"Eff. Area of filter is 962 sq. mm.  Unable to filter 1um pore size from hydrodynamic resistance, possibly due to surfactant or other substance added by SCCWRP.  Suggest issuing samples without surfactant in future.",-88.0,-88.0,-88.0,CW,212-500 um
222,LabZ,LabZ_CW_4,212,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,2.0,"Eff. Area of filter is 962 sq. mm.  Unable to filter 1um pore size from hydrodynamic resistance, possibly due to surfactant or other substance added by SCCWRP.  Suggest issuing samples without surfactant in future.",-88.0,-88.0,-88.0,CW,212-500 um
529,LabN,LabN_CW_4,20,-88,PCTE,20,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",0.17,,-88.0,-88.0,-88.0,CW,20-212 um
530,LabN,LabN_CW_1,1,-88,PCTE,1,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",8.35,"Problems filtering the first sample @30C, increased to 50C, 2x 1um filters used and likely sample loss",-88.0,-88.0,-88.0,CW,1-20 um
531,LabN,LabN_CW_2,1,-88,PCTE,1,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",3.25,Increased hot plate temperature improved filtration,-88.0,-88.0,-88.0,CW,1-20 um
532,LabN,LabN_CW_3,1,-88,PCTE,1,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",1.15,Increased hot plate temperature improved filtration,-88.0,-88.0,-88.0,CW,1-20 um
533,LabN,LabN_CW_4,1,-88,PCTE,1,47,Glass,-88.0,-88,"dry, on filters, in glass petri dish",2.0,Increased hot plate temperature improved filtration,-88.0,-88.0,-88.0,CW,1-20 um
648,LabZ,LabZ_SD_01,500,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,3.0,,16.0,-88.0,-88.0,SD,>500 um
649,LabZ,LabZ_SD_01,212,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,3.0,,16.0,-88.0,-88.0,SD,212-500 um
650,LabZ,LabZ_SD_01,212,3,"PCTE, Gold Coated",20,47,Glass,-88.0,-88,Dry,4.0,"Eff. Area of filter is 962 sq. mm.  (35 mm diameter deposit), separation time is approx. (overnight unattended)",16.0,16.0,-88.0,SD,20-212 um
651,LabZ,LabZ_SD_01,212,3,"PCTE, Gold Coated",1,47,Glass,-88.0,-88,Dry,4.0,"Eff. Area of filter is 962 sq. mm.  (35 mm diameter deposit), separation time is approx. (overnight unattended)",16.0,16.0,-88.0,SD,1-20 um
235,LabF,LabF_CW_1,500,3.94,"Stainless steel (20µm), Silver membrane (1,2µm)",20,25,Glass,0.0,0,"on filters, dry",15.0,"Samples were sieved trough 500 and 212µm mesh sieves, then filtered trought 20µm and 1.2µm filters.",0.0,0.0,0.0,CW,>500 um
236,LabF,LabF_CW_2,500,3.94,"Stainless steel (20µm), Silver membrane (1,2µm)",20,25,Glass,0.0,0,"on filters, dry",15.0,Last filtration step (1.2µm) responsible for most of the processing time.,0.0,0.0,0.0,CW,>500 um
237,LabF,LabF_CW_3,500,3.94,"Stainless steel (20µm), Silver membrane (1,2µm)",20,25,Glass,0.0,0,"on filters, dry",15.0,No density separation or chemical digestion for these CW samples.,0.0,0.0,0.0,CW,>500 um
238,LabF,LabF_CW_4,500,3.94,"Stainless steel (20µm), Silver membrane (1,2µm)",20,25,Glass,0.0,0,"on filters, dry",15.0,,0.0,0.0,0.0,CW,>500 um
239,LabC,LabC_CW_1,212,3.937 inches,NYLON,20,44,Glass,0.0,no,Dry,3.0,the size of sieve we used is 200 um and 500 um,0.0,0.0,0.0,CW,212-500 um
240,LabC,LabC_CW_1,500,3.937 inches,NYLON,20,44,Glass,0.0,no,Dry,4.0,the size of sieve we used is 200 um and 501 um,0.0,0.0,0.0,CW,>500 um
241,LabC,LabC_CW_2,212,3.937 inches,NYLON,20,44,Glass,0.0,no,Dry,3.0,the size of sieve we used is 200 um and 500 um,0.0,0.0,0.0,CW,>500 um
242,LabC,LabC_CW_2,500,3.937 inches,NYLON,20,44,Glass,0.0,no,Dry,3.0,the size of sieve we used is 200 um and 500 um,0.0,0.0,0.0,CW,212-500 um
243,LabC,LabC_CW_3,212,3.937 inches,NYLON,20,44,Glass,0.0,no,Dry,3.0,the size of sieve we used is 200 um and 500 um,0.0,0.0,0.0,CW,>500 um
244,LabC,LabC_CW_3,500,3.937 inches,NYLON,20,44,Glass,0.0,no,Dry,3.0,the size of sieve we used is 200 um and 500 um,0.0,0.0,0.0,CW,212-500 um
245,LabC,LabC_CW_4,212,3.937 inches,NYLON,20,44,Glass,0.0,no,Dry,2.0,the size of sieve we used is 200 um and 500 um,0.0,0.0,0.0,CW,>500 um
246,LabC,LabC_CW_4,500,3.937 inches,NYLON,20,44,Glass,0.0,no,Dry,2.0,the size of sieve we used is 200 um and 500 um,0.0,0.0,0.0,CW,212-500 um
247,LabV,LabV_CW_1,212,"8"" SS ASTM",Sterlitech PCTE,20,47,Stainless-steel,-88.0,-88,Glass jar,-88.0,Microscopy only; 1µm solutions kept several weeks while decisions were made re Pyr-GCMS preparation. Bacterial growth + excess surfactant congealed so 1 um fraction not collected.,-88.0,-88.0,-88.0,CW,212-500 um
248,LabV,LabV_CW_1,500,"8"" SS ASTM",Sterlitech PCTE,20,47,Stainless-steel,-88.0,-88,Glass jar,-88.0,Microscopy only; 1µm solutions kept several weeks while decisions were made re Pyr-GCMS preparation. Bacterial growth + excess surfactant congealed so 1 um fraction not collected.,-88.0,-88.0,-88.0,CW,>500 um
249,LabV,LabV_CW_2,212,"8"" SS ASTM",Sterlitech PCTE,20,47,Stainless-steel,-88.0,-88,Glass jar,-88.0,Microscopy only; 1µm solutions kept several weeks while decisions were made re Pyr-GCMS preparation. Bacterial growth + excess surfactant congealed so 1 um fraction not collected.,-88.0,-88.0,-88.0,CW,212-500 um
250,LabV,LabV_CW_2,500,"8"" SS ASTM",Sterlitech PCTE,20,47,Stainless-steel,-88.0,-88,Glass jar,-88.0,Microscopy only; 1µm solutions kept several weeks while decisions were made re Pyr-GCMS preparation. Bacterial growth + excess surfactant congealed so 1 um fraction not collected.,-88.0,-88.0,-88.0,CW,>500 um
251,LabV,LabV_CW_3,212,"8"" SS ASTM",Sterlitech PCTE,20,47,Stainless-steel,-88.0,-88,Glass jar,-88.0,Microscopy only; 1µm solutions kept several weeks while decisions were made re Pyr-GCMS preparation. Bacterial growth + excess surfactant congealed so 1 um fraction not collected.,-88.0,-88.0,-88.0,CW,212-500 um
252,LabV,LabV_CW_3,500,"8"" SS ASTM",Sterlitech PCTE,20,47,Stainless-steel,-88.0,-88,Glass jar,-88.0,Microscopy only; 1µm solutions kept several weeks while decisions were made re Pyr-GCMS preparation. Bacterial growth + excess surfactant congealed so 1 um fraction not collected.,-88.0,-88.0,-88.0,CW,>500 um
253,LabV,LabV_CW_4,212,"8"" SS ASTM",Sterlitech PCTE,20,47,Stainless-steel,-88.0,-88,Glass jar,-88.0,Microscopy only; 1µm solutions kept several weeks while decisions were made re Pyr-GCMS preparation. Bacterial growth + excess surfactant congealed so 1 um fraction not collected.,-88.0,-88.0,-88.0,CW,212-500 um
254,LabV,LabV_CW_4,500,"8"" SS ASTM",Sterlitech PCTE,20,47,Stainless-steel,-88.0,-88,Glass jar,-88.0,Microscopy only; 1µm solutions kept several weeks while decisions were made re Pyr-GCMS preparation. Bacterial growth + excess surfactant congealed so 1 um fraction not collected.,-88.0,-88.0,-88.0,CW,>500 um
255,LabM,LabM_CW_1,500,3 inch,NA,-88,-88,NA,-88.0,NA,Dry; each fraction on glass petri,0.5,,-88.0,-88.0,-88.0,CW,>500 um
256,LabM,LabM_CW_1,212,8 inch,NA,-88,-88,NA,-88.0,NA,Dry; each fraction on glass petri,0.5,"0.5 for sieving all 3 together, not 0.3 separately",-88.0,-88.0,-88.0,CW,212-500 um
257,LabM,LabM_CW_1,20,3 inch,NA,-88,-88,NA,-88.0,NA,Dry; each fraction on glass petri,0.5,20 um sieve used instead of 20 um filter,-88.0,-88.0,-88.0,CW,20-212 um
258,LabM,LabM_CW_1,20,3 inch,Nylon membrane,1,47,stainless steel,-88.0,NA,not analyzed,1.5,"filtration issues with time, leaks; not completed",-88.0,-88.0,-88.0,CW,1-20 um
259,LabM,LabM_CW_2,500,3 inch,NA,-88,-88,NA,-88.0,NA,Dry; each fraction on glass petri,0.5,,-88.0,-88.0,-88.0,CW,>500 um
260,LabM,LabM_CW_2,212,8 inch,NA,-88,-88,NA,-88.0,NA,Dry; each fraction on glass petri,0.5,,-88.0,-88.0,-88.0,CW,212-500 um
261,LabM,LabM_CW_2,20,3 inch,NA,-88,-88,NA,-88.0,NA,Dry; each fraction on glass petri,0.5,"0.5 for sieving all 3 together, not 0.3 separately",-88.0,-88.0,-88.0,CW,20-212 um
262,LabM,LabM_CW_2,20,3 inch,Nylon membrane,1,47,stainless steel,-88.0,NA,not analyzed,1.5,"filtration issues with time, leaks; not completed",-88.0,-88.0,-88.0,CW,1-20 um
263,LabM,LabM_CW_3,500,3 inch,NA,-88,-88,NA,-88.0,NA,Dry; each fraction on glass petri,0.5,,-88.0,-88.0,-88.0,CW,>500 um
264,LabM,LabM_CW_3,212,8 inch,NA,-88,-88,NA,-88.0,NA,Dry; each fraction on glass petri,0.5,"0.5 for sieving all 3 together, not 0.3 separately",-88.0,-88.0,-88.0,CW,212-500 um
265,LabM,LabM_CW_3,20,3 inch,NA,-88,-88,NA,-88.0,NA,Dry; each fraction on glass petri,0.5,20 um sieve used instead of 20 um filter,-88.0,-88.0,-88.0,CW,20-212 um
266,LabM,LabM_CW_3,20,3 inch,Nylon membrane,1,47,stainless steel,-88.0,NA,not analyzed,1.5,"filtration issues with time, leaks; not completed",-88.0,-88.0,-88.0,CW,1-20 um
267,LabM,LabM_CW_4,500,3 inch,NA,-88,-88,NA,-88.0,NA,Dry; each fraction on glass petri,0.5,,-88.0,-88.0,-88.0,CW,>500 um
268,LabM,LabM_CW_4,212,8 inch,NA,-88,-88,NA,-88.0,NA,Dry; each fraction on glass petri,0.5,"0.5 for sieving all 3 together, not 0.3 separately",-88.0,-88.0,-88.0,CW,212-500 um
269,LabM,LabM_CW_4,20,3 inch,NA,-88,-88,NA,-88.0,NA,Dry; each fraction on glass petri,0.5,20 um sieve used instead of 20 um filter,-88.0,-88.0,-88.0,CW,20-212 um
270,LabM,LabM_CW_4,20,3 inch,Nylon membrane,1,47,stainless steel,-88.0,NA,not analyzed,1.5,"filtration issues with time, leaks; not completed",-88.0,-88.0,-88.0,CW,1-20 um
271,LabD,LabD_CW_2,"212, 500",8,PCTE,20,47,Stainless-steel,-88.0,-88,"On filters, dry",30.0,1% acetic acid on 1-20 um size class,2.0,24.0,-88.0,CW,212-500 um
272,LabRR,LabRR_CW_1,500,200 mm,Cr/Al-coated Nylon Mesh,20,25,Glass,0.0,0,Dry,1.0,,0.0,0.0,0.0,CW,>500 um
273,LabRR,LabRR_CW_1,212,200 mm,Cr/Al-coated Nylon Mesh,20,25,Glass,0.0,0,Dry,1.0,,0.0,0.0,0.0,CW,>500 um
274,LabQ,LabQ_CW_1,212,3,PCTE,1,47,Glass,-88.0,-88,Dry,1.0,,-88.0,-88.0,-88.0,CW,212-500 um
275,LabQ,LabQ_CW_1,212,3,PCTE,20,47,Glass,-88.0,-88,Dry,2.0,212 um mesh size with  20 um is duplicated in row 3 and 4. 1st instance - for the contents of the 212 um sieve (Reference: SOP pg 33 - Extraction procedure B.1.c). 2nd instance  (Reference: SOP pg 33 - Extraction procedure B.2-7),-88.0,-88.0,-88.0,CW,1-20 um
534,LabR,LabR_CW_1,500,8,PCTE,20,47,Glass,-88.0,-88,room temp,4.0,,-88.0,-88.0,-88.0,CW,212-500 um
277,LabQ,LabQ_CW_2,212,3,PCTE,1,47,Glass,-88.0,-88,Dry,1.0,,-88.0,-88.0,-88.0,CW,>500 um
278,LabQ,LabQ_CW_2,212,3,PCTE,20,47,Glass,-88.0,-88,Dry,2.0,212 um mesh size with  20 um is duplicated in row 3 and 4. 1st instance - for the contents of the 212 um sieve (Reference: SOP pg 33 - Extraction procedure B.1.c). 2nd instance  (Reference: SOP pg 33 - Extraction procedure B.2-7),-88.0,-88.0,-88.0,CW,1-20 um
280,LabQ,LabQ_CW_3,212,3,PCTE,1,47,Glass,-88.0,-88,Dry,1.0,,-88.0,-88.0,-88.0,CW,>500 um
281,LabQ,LabQ_CW_3,212,3,PCTE,20,47,Glass,-88.0,-88,Dry,2.0,212 um mesh size with  20 um is duplicated in row 3 and 4. 1st instance - for the contents of the 212 um sieve (Reference: SOP pg 33 - Extraction procedure B.1.c). 2nd instance  (Reference: SOP pg 33 - Extraction procedure B.2-7),-88.0,-88.0,-88.0,CW,1-20 um
283,LabQ,LabQ_CW_4,212,3,PCTE,1,47,Glass,-88.0,-88,Dry,1.0,,-88.0,-88.0,-88.0,CW,>500 um
284,LabQ,LabQ_CW_4,212,3,PCTE,20,47,Glass,-88.0,-88,Dry,2.0,212 um mesh size with  20 um is duplicated in row 3 and 4. 1st instance - for the contents of the 212 um sieve (Reference: SOP pg 33 - Extraction procedure B.1.c). 2nd instance  (Reference: SOP pg 33 - Extraction procedure B.2-7),-88.0,-88.0,-88.0,CW,1-20 um
286,LabS,LabS_CW_1,500,8,Polycarbonate,20,47,Stainless-steel,0.0,0,Reflective slide which is put on a Petri Dish,10.16,There was a 'white  substance' stayed on the first sieve (See Additionnal Picture White_Substance_Sieve) because rinsing was not enough to eliminate all the white substance. This white substance dried to form friable and electrostatic fragments.,0.0,0.0,0.0,CW,>500 um
287,LabS,LabS_CW_2,500,8,Polycarbonate,20,47,Stainless-steel,0.0,0,Reflective slide which is put on a Petri Dish,15.2,This is the same thing but this is on the second sieve that the white substance dry. A part of the substance passed through the sieves and was found in the fraction size 20 µm - 212 µm.,0.0,0.0,0.0,CW,>500 um
288,LabS,LabS_CW_3,500,8,Polycarbonate,20,47,Stainless-steel,0.0,0,Reflective slide which is put on a Petri Dish,70.5,"Fast filtration through the sieves (2,5 hours) but slow filtration through the filter because of the 'white sticky substance' that obstruct rapidly the filter (See Additional picture White_Substance_filter).",0.0,0.0,0.0,CW,>500 um
289,LabS,LabS_CW_4,500,8,Polycarbonate,20,47,Stainless-steel,0.0,0,Reflective slide which is put on a Petri Dish,63.3,"Same comments as for sample UQAR_CW_03.  Also, impossible to filter through a 1 um pore size for all samples due to this white substance (picture of the white substance in the sample is on additionnal pictures and named White_Substance_Sample).",0.0,0.0,0.0,CW,>500 um
290,LabS,LabS_CW_1,212,8,Polycarbonate,20,47,Stainless-steel,0.0,0,Reflective slide which is put on a Petri Dish,10.16,There was a 'white  substance' stayed on the first sieve (See Additionnal Picture White_Substance_Sieve) because rinsing was not enough to eliminate all the white substance. This white substance dried to form friable and electrostatic fragments.,0.0,0.0,0.0,CW,>500 um
279,LabQ,LabQ_CW_2,500,3,PCTE,20,47,Glass,-88.0,-88,Dry,1.0,,-88.0,-88.0,-88.0,CW,20-212 um
282,LabQ,LabQ_CW_3,500,3,PCTE,20,47,Glass,-88.0,-88,Dry,1.0,,-88.0,-88.0,-88.0,CW,20-212 um
285,LabQ,LabQ_CW_4,500,3,PCTE,20,47,Glass,-88.0,-88,Dry,1.0,,-88.0,-88.0,-88.0,CW,20-212 um
291,LabS,LabS_CW_2,212,8,Polycarbonate,20,47,Stainless-steel,0.0,0,Reflective slide which is put on a Petri Dish,15.2,This is the same thing but this is on the second sieve that the white substance dry. A part of the substance passed through the sieves and was found in the fraction size 20 µm - 212 µm.,0.0,0.0,0.0,CW,212-500 um
292,LabS,LabS_CW_3,212,8,Polycarbonate,20,47,Stainless-steel,0.0,0,Reflective slide which is put on a Petri Dish,70.5,"Fast filtration through the sieves (2,5 hours) but slow filtration through the filter because of the 'white sticky substance' that obstruct rapidly the filter (See Additional picture White_Substance_filter).",0.0,0.0,0.0,CW,212-500 um
293,LabS,LabS_CW_4,212,8,Polycarbonate,20,47,Stainless-steel,0.0,0,Reflective slide which is put on a Petri Dish,63.3,"Same comments as for sample UQAR_CW_03.  Also, impossible to filter through a 1 um pore size for all samples due to this white substance (picture of the white substance in the sample is on additionnal pictures and named White_Substance_Sample).",0.0,0.0,0.0,CW,212-500 um
294,LabG,LabG_CW_1,500,8 inches,Cellulose Acetate,-88,-88,Glass,-88.0,-88,"on tape, dry",3.0,,-88.0,-88.0,-88.0,CW,212-500 um
295,LabG,LabG_CW_1,212,8 inches,Cellulose Acetate,-88,-88,Glass,-88.0,-88,"on tape, dry",3.0,,-88.0,-88.0,-88.0,CW,>500 um
535,LabR,LabR_CW_1,212,8,PCTE,20,47,Glass,-88.0,-88,room temp,4.0,,-88.0,-88.0,-88.0,CW,20-212 um
297,LabG,LabG_CW_1,1,-88,polycarbonate,1,25,Plastic- 6 well plates,-88.0,-88,"on filters, dry",27.0,overnight filtration,-88.0,-88.0,-88.0,CW,20-212 um
298,LabG,LabG_CW_2,500,8 inches,Cellulose Acetate,-88,-88,Glass,-88.0,-88,"on tape, dry",3.0,,-88.0,-88.0,-88.0,CW,1-20 um
299,LabG,LabG_CW_2,212,8 inches,Cellulose Acetate,-88,-88,Glass,-88.0,-88,"on tape, dry",3.0,,-88.0,-88.0,-88.0,CW,>500 um
301,LabG,LabG_CW_2,1,-88,polycarbonate,1,25,Plastic- 6 well plates,-88.0,-88,"on filters, dry",27.0,overnight filtration,-88.0,-88.0,-88.0,CW,20-212 um
302,LabG,LabG_CW_3,500,8 inches,Cellulose Acetate,-88,-88,Glass,-88.0,-88,"on tape, dry",3.0,,-88.0,-88.0,-88.0,CW,1-20 um
303,LabG,LabG_CW_3,212,8 inches,Cellulose Acetate,-88,-88,Glass,-88.0,-88,"on tape, dry",3.0,,-88.0,-88.0,-88.0,CW,>500 um
305,LabG,LabG_CW_3,1,-88,polycarbonate,1,25,Plastic- 6 well plates,-88.0,-88,"on filters, dry",27.0,overnight filtration,-88.0,-88.0,-88.0,CW,20-212 um
306,LabG,LabG_CW_4,500,8 inches,Cellulose Acetate,-88,-88,Glass,-88.0,-88,"on tape, dry",3.0,,-88.0,-88.0,-88.0,CW,1-20 um
307,LabG,LabG_CW_4,212,8 inches,Cellulose Acetate,-88,-88,Glass,-88.0,-88,"on tape, dry",3.0,,-88.0,-88.0,-88.0,CW,>500 um
536,LabR,LabR_CW_1,212,8,PCTE,5,47,Glass,-88.0,-88,room temp,4.0,"Gelatin Gate, lost CW_01, had to make a new sample",-88.0,-88.0,-88.0,CW,1-20 um
309,LabG,LabG_CW_4,1,-88,polycarbonate,1,25,Plastic- 6 well plates,-88.0,-88,"on filters, dry",27.0,overnight filtration,-88.0,-88.0,-88.0,CW,20-212 um
310,LabU,LabU_CW_1,500,8,"Cellulose (20 micron), borosilicate glass fiber (1 micron)",20,47,GLASS,-88.0,-88,Dry,0.25,Samples separated on sieves were then filtered onto 20 micron filters for storage.,0.25,-88.0,-88.0,CW,1-20 um
311,LabU,LabU_CW_2,500,8,"Cellulose (20 micron), borosilicate glass fiber (1 micron)",20,47,GLASS,-88.0,-88,Dry,0.25,Samples separated on sieves were then filtered onto 20 micron filters for storage.,0.25,-88.0,-88.0,CW,>500 um
312,LabU,LabU_CW_3,500,8,"Cellulose (20 micron), borosilicate glass fiber (1 micron)",20,47,GLASS,-88.0,-88,Dry,0.25,Samples separated on sieves were then filtered onto 20 micron filters for storage.,0.25,-88.0,-88.0,CW,>500 um
300,LabG,LabG_CW_2,20,-88,polycarbonate,20,25,Plastic- 6 well plates,-88.0,-88,"on filters, dry",27.0,overnight filtration,-88.0,-88.0,-88.0,CW,212-500 um
